key,title,iac_matches,quality_matches
war_vulnerabilities_2025,"Vulnerabilities in infrastructure as code: what, how many, and who?",infrastructure as code,vulnerabilit
bessghaier_towards_2025,Towards understanding code review practices for infrastructure-as-code: {An,infrastructure-as-code,practice
nasiri_towards_2024,Towards a {Taxonomy,ansible;iac;infrastructure as code,fault;misconfig;misconfiguration
shimizu_test-suite-guided_2024,Test-suite-guided discovery of least privilege for cloud infrastructure as code,infrastructure as code,test
rahman_as_2020,The ‘as code’ activities: development anti-patterns for infrastructure as code,infrastructure as code,anti-pattern
verdet_assessing_2025,Assessing the adoption of security policies by developers in terraform across different cloud providers,terraform,security
eng_patterns_2024,Patterns of multi-container composition for service orchestration with {Docker,container;docker;docker compose,analysis
10.1007/s10664-023-10432-6,An empirical study of task infections in Ansible scripts,ansible;infrastructure as code,analysis;security
SUHAIL2024100706,TRIPLE: A blockchain-based digital twin framework for cyber–physical systems security,iac;infrastructure-as-code,security
ABE20222771,"Neuroscience Cloud Analysis As a Service: An open-source platform for scalable, reproducible data analysis",infrastructure-as-code,analysis
SCHWANCK2025107626,A Framework for testing Federated Learning algorithms using an edge-like environment,container;kubernetes,test;testing
ALMUAIRFI202013,Security controls in infrastructure as code,iac;infrastructure as code,security
DALLAPALMA2020110726,Toward a catalog of software quality metrics for infrastructure code,ansible;iac;infrastructure as code;infrastructure-as-code,practice;quality
DIAZ2024111908,Harmonizing DevOps taxonomies — A grounded theory study,arm,analysis;practice;test;validate
POSEY2018153,6 - Infrastructure for Transportation Cyber-Physical Systems,infrastructure as code,analysis;reliability
FEITOSA2024112112,Mining for cost awareness in the infrastructure as code artifacts of cloud-based applications: An exploratory study,infrastructure as code;infrastructure-as-code;terraform,practice
AMARO2025107583,Mapping DevOps capabilities to the software life cycle: A systematic literature review,arm,analysis;performance;quality;reliability;validation
TANZIL2023107244,A mixed method study of DevOps challenges,container;infrastructure as code,practice;quality;validate
VS2023103490,"Container security: Precaution levels, mitigation strategies, and research perspectives",container;containerization,analysis;defect;security;vulnerabilit
DALLAPALMA2020100633,AnsibleMetrics: A Python library for measuring Infrastructure-as-Code blueprints in Ansible,ansible;iac;infrastructure as code;infrastructure-as-code,practice;quality
RAHMAN2019148,Source code properties of defective infrastructure as code scripts,configuration as code;iac;infrastructure as code;puppet,analysis;defect;quality;reliability;test;testing
KAVITHA2025,"Agile Software Development: DevOps, SRE, and VSM Practices & Tools",iac;infrastructure as code;terraform,practice;quality;reliability
ALGHAWLI2024136,"Resilient cloud cluster with DevSecOps security model, automates a data analysis, vulnerability search and risk calculation",terraform,analysis;security;vulnerabilit;vulnerability
